elapsed (s),x-axis (g),y-axis (g),z-axis (g)
26.48,2.53,-3.2310000000000003,-1.057
26.56,-0.091,-0.828,-0.503
26.64,0.48,-0.5760000000000001,-0.8370000000000001
26.72,0.95,-0.7340000000000001,-1.055
26.8,0.823,-0.7390000000000001,-0.501
26.88,0.364,-0.7140000000000001,-0.381
26.96,0.325,-0.952,-0.507
27.04,0.443,-0.333,-0.621
27.12,0.721,-0.644,-0.623
27.2,0.47,-0.853,-0.534
27.28,0.407,-0.767,-0.319
27.36,0.465,-0.815,-0.395
27.44,0.447,-0.7240000000000001,-0.455
27.52,0.435,-0.727,-0.474
27.6,0.455,-0.7440000000000001,-0.5329999999999999
27.68,0.458,-0.696,-0.527
27.76,0.45,-0.685,-0.529
27.84,0.45,-0.698,-0.552
27.92,0.459,-0.684,-0.55
28.0,0.449,-0.626,-0.546
28.08,0.512,-0.732,-0.602
28.16,0.46,-0.618,-0.503
28.24,0.506,-0.7120000000000001,-0.545
28.32,0.5,-0.657,-0.541
28.4,0.493,-0.68,-0.5589999999999999
28.48,0.498,-0.7240000000000001,-0.532
28.56,0.525,-0.703,-0.49
28.64,0.505,-0.736,-0.464
28.72,0.486,-0.769,-0.407
28.8,0.465,-0.758,-0.33
28.88,0.51,-0.821,-0.105
28.96,0.423,-0.792,-0.08800000000000001
29.04,0.47,-0.8059999999999999,-0.17
29.12,0.509,-0.8290000000000001,-0.271
29.2,0.49,-0.8440000000000001,-0.299
29.28,0.474,-0.818,-0.268
29.36,0.475,-0.816,-0.25
29.44,0.473,-0.816,-0.257
29.52,0.479,-0.816,-0.259
29.6,0.477,-0.8170000000000001,-0.254
29.68,0.479,-0.821,-0.263
29.76,0.477,-0.815,-0.261
29.84,0.479,-0.821,-0.266
29.92,0.478,-0.8170000000000001,-0.265
30.0,0.475,-0.816,-0.264
30.08,0.477,-0.8170000000000001,-0.264
30.16,0.477,-0.816,-0.264
30.24,0.475,-0.815,-0.268
30.32,0.472,-0.816,-0.274
30.4,0.477,-0.812,-0.265
30.48,0.471,-0.812,-0.28300000000000003
30.56,0.479,-0.8109999999999999,-0.303
30.64,0.488,-0.8190000000000001,-0.317
30.72,0.55,-0.7490000000000001,-0.355
30.8,0.5589999999999999,-0.7759999999999999,-0.403
30.88,0.562,-0.984,-0.223
30.96,0.604,-0.91,-0.162
31.04,0.7859999999999999,-0.634,-0.004
31.12,0.6920000000000001,-0.7709999999999999,0.146
31.2,0.7190000000000001,-0.619,-0.166
31.28,0.695,-0.57,-0.183
31.36,0.597,-0.472,-0.221
31.44,0.67,-0.214,-0.412
31.52,0.7759999999999999,-0.093,-0.639
31.6,0.7509999999999999,-0.17800000000000002,-0.604
31.68,0.85,-0.006,-0.741
