epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554151844694,2019-04-01T16.50.44.694,19.440,0.117,-0.815,-0.676
1554151844774,2019-04-01T16.50.44.774,19.520,0.131,-0.768,-0.651
1554151844854,2019-04-01T16.50.44.854,19.600,0.161,-0.772,-0.594
1554151844934,2019-04-01T16.50.44.934,19.680,0.285,-0.734,-0.467
1554151845014,2019-04-01T16.50.45.014,19.760,0.459,-0.774,-0.243
1554151845094,2019-04-01T16.50.45.094,19.840,0.472,-0.854,-0.243
1554151845174,2019-04-01T16.50.45.174,19.920,0.418,-0.646,-0.348
1554151845254,2019-04-01T16.50.45.254,20.000,0.361,-0.654,-0.551
1554151845334,2019-04-01T16.50.45.334,20.080,0.280,-0.774,-0.630
1554151845414,2019-04-01T16.50.45.414,20.160,0.292,-0.808,-0.664
1554151845494,2019-04-01T16.50.45.494,20.240,0.198,-0.850,-0.628
1554151845574,2019-04-01T16.50.45.574,20.320,0.127,-0.729,-0.575
1554151845654,2019-04-01T16.50.45.654,20.400,0.115,-0.662,-0.608
1554151845734,2019-04-01T16.50.45.734,20.480,0.269,-0.715,-0.688
1554151845814,2019-04-01T16.50.45.814,20.560,0.260,-0.756,-0.702
1554151845894,2019-04-01T16.50.45.894,20.640,0.167,-0.779,-0.662
1554151845974,2019-04-01T16.50.45.974,20.720,0.309,-0.834,-0.553
1554151846054,2019-04-01T16.50.46.054,20.800,0.497,-0.691,-0.497
1554151846134,2019-04-01T16.50.46.134,20.880,0.450,-0.650,-0.644
1554151846214,2019-04-01T16.50.46.214,20.960,0.539,-0.611,-0.492
1554151846294,2019-04-01T16.50.46.294,21.040,0.450,-0.753,-0.586
1554151846374,2019-04-01T16.50.46.374,21.120,0.516,-0.780,-0.406
1554151846454,2019-04-01T16.50.46.454,21.200,0.452,-0.689,-0.447
1554151846534,2019-04-01T16.50.46.534,21.280,0.456,-0.676,-0.490
1554151846614,2019-04-01T16.50.46.614,21.360,0.427,-0.752,-0.440
1554151846694,2019-04-01T16.50.46.694,21.440,0.402,-0.711,-0.353
1554151846774,2019-04-01T16.50.46.774,21.520,0.343,-0.621,-0.401
1554151846854,2019-04-01T16.50.46.854,21.600,0.324,-0.636,-0.572
1554151846934,2019-04-01T16.50.46.934,21.680,0.303,-0.753,-0.744
1554151847014,2019-04-01T16.50.47.014,21.760,0.319,-0.792,-0.948
1554151847094,2019-04-01T16.50.47.094,21.840,0.366,-0.797,-1.072
1554151847174,2019-04-01T16.50.47.174,21.920,0.367,-0.760,-0.893
1554151847254,2019-04-01T16.50.47.254,22.000,0.276,-0.745,-0.704
1554151847334,2019-04-01T16.50.47.334,22.080,0.269,-0.658,-0.487
1554151847414,2019-04-01T16.50.47.414,22.160,0.170,-0.743,-0.417
1554151847494,2019-04-01T16.50.47.494,22.240,0.235,-0.804,-0.280
1554151847574,2019-04-01T16.50.47.574,22.320,0.226,-0.896,-0.193
1554151847654,2019-04-01T16.50.47.654,22.400,0.459,-0.744,-0.331
1554151847734,2019-04-01T16.50.47.734,22.480,0.807,-0.726,-0.668
1554151847814,2019-04-01T16.50.47.814,22.560,0.630,-0.707,-0.509
1554151847894,2019-04-01T16.50.47.894,22.640,0.499,-0.693,-0.328
1554151847974,2019-04-01T16.50.47.974,22.720,0.386,-0.583,-0.261
1554151848054,2019-04-01T16.50.48.054,22.800,0.380,-0.711,-0.155
1554151848134,2019-04-01T16.50.48.134,22.880,0.412,-0.818,-0.265
1554151848214,2019-04-01T16.50.48.214,22.960,0.460,-1.078,-0.264
1554151848294,2019-04-01T16.50.48.294,23.040,0.474,-1.095,-0.394
1554151848374,2019-04-01T16.50.48.374,23.120,0.203,-0.830,-0.368
1554151848454,2019-04-01T16.50.48.454,23.200,0.258,-0.842,-0.196
1554151848534,2019-04-01T16.50.48.534,23.280,0.271,-0.715,-0.079
1554151848614,2019-04-01T16.50.48.614,23.360,0.234,-0.746,-0.033
1554151848694,2019-04-01T16.50.48.694,23.440,0.289,-0.875,-0.018
1554151848774,2019-04-01T16.50.48.774,23.520,0.382,-1.044,-0.090
1554151848854,2019-04-01T16.50.48.854,23.600,0.578,-1.084,-0.292
1554151848934,2019-04-01T16.50.48.934,23.680,0.590,-0.855,-0.435
1554151849014,2019-04-01T16.50.49.014,23.760,0.300,-0.808,-0.241
1554151849094,2019-04-01T16.50.49.094,23.840,0.244,-0.620,-0.128
1554151849174,2019-04-01T16.50.49.174,23.920,0.333,-0.684,-0.124
1554151849254,2019-04-01T16.50.49.254,24.000,0.347,-0.797,-0.148
1554151849334,2019-04-01T16.50.49.334,24.080,0.295,-0.752,-0.172
1554151849414,2019-04-01T16.50.49.414,24.160,0.150,-0.698,-0.304
1554151849494,2019-04-01T16.50.49.494,24.240,-0.004,-0.547,-0.416
1554151849574,2019-04-01T16.50.49.574,24.320,-0.267,-0.490,-0.645
1554151849654,2019-04-01T16.50.49.654,24.400,-0.475,-0.329,-1.559
1554151849734,2019-04-01T16.50.49.734,24.480,-0.277,-0.596,-1.017
1554151849814,2019-04-01T16.50.49.814,24.560,-0.401,-0.510,-0.955
1554151849894,2019-04-01T16.50.49.894,24.640,-0.428,-0.335,-1.067
1554151849974,2019-04-01T16.50.49.974,24.720,-0.476,-0.297,-1.104
1554151850054,2019-04-01T16.50.50.054,24.800,-0.547,-0.278,-1.117
1554151850134,2019-04-01T16.50.50.134,24.880,-0.557,-0.312,-1.056
1554151850214,2019-04-01T16.50.50.214,24.960,-0.425,-0.199,-0.925
1554151850294,2019-04-01T16.50.50.294,25.040,-0.512,-0.231,-0.906
1554151850374,2019-04-01T16.50.50.374,25.120,-0.502,-0.244,-0.830
1554151850454,2019-04-01T16.50.50.454,25.200,-0.463,-0.140,-0.806
1554151850534,2019-04-01T16.50.50.534,25.280,-0.458,-0.210,-0.804
1554151850614,2019-04-01T16.50.50.614,25.360,-0.414,-0.294,-0.770
1554151850694,2019-04-01T16.50.50.694,25.440,-0.467,-0.245,-0.837
1554151850774,2019-04-01T16.50.50.774,25.520,-0.588,-0.279,-0.962
1554151850854,2019-04-01T16.50.50.854,25.600,-0.509,-0.253,-0.903
1554151850934,2019-04-01T16.50.50.934,25.680,-0.485,-0.266,-0.844
1554151851014,2019-04-01T16.50.51.014,25.760,-0.450,-0.270,-0.811
1554151851094,2019-04-01T16.50.51.094,25.840,-0.427,-0.264,-0.851
1554151851174,2019-04-01T16.50.51.174,25.920,-0.462,-0.305,-0.896
1554151851254,2019-04-01T16.50.51.254,26.000,-0.491,-0.308,-0.871
1554151851334,2019-04-01T16.50.51.334,26.080,-0.418,-0.262,-0.834
1554151851414,2019-04-01T16.50.51.414,26.160,-0.427,-0.259,-0.848
1554151851494,2019-04-01T16.50.51.494,26.240,-0.473,-0.279,-0.865
1554151851574,2019-04-01T16.50.51.574,26.320,-0.475,-0.283,-0.870
1554151851654,2019-04-01T16.50.51.654,26.400,-0.479,-0.268,-0.858
1554151851734,2019-04-01T16.50.51.734,26.480,-0.457,-0.264,-0.834
1554151851814,2019-04-01T16.50.51.814,26.560,-0.464,-0.258,-0.851
1554151851894,2019-04-01T16.50.51.894,26.640,-0.481,-0.284,-0.863
1554151851974,2019-04-01T16.50.51.974,26.720,-0.484,-0.298,-0.880
1554151852054,2019-04-01T16.50.52.054,26.800,-0.503,-0.245,-0.851
1554151852134,2019-04-01T16.50.52.134,26.880,-0.519,-0.260,-0.838
1554151852214,2019-04-01T16.50.52.214,26.960,-0.547,-0.312,-0.910
1554151852294,2019-04-01T16.50.52.294,27.040,-0.536,-0.335,-0.898
1554151852374,2019-04-01T16.50.52.374,27.120,-0.523,-0.345,-0.886
