elapsed (s),x-axis (g),y-axis (g),z-axis (g),fall
39.68,0.233,-0.894,-0.11,0
39.76,0.191,-1.043,-0.159,0
39.84,0.203,-1.289,-0.205,0
39.92,0.027000000000000003,-0.894,-0.32299999999999995,0
40.0,0.051,-0.725,-0.268,0
40.08,0.282,-1.017,-0.13699999999999998,0
40.16,0.179,-0.857,-0.076,0
40.24,0.14,-0.88,-0.039,0
40.32,0.191,-0.9,-0.026,0
40.4,0.239,-1.018,-0.068,0
40.48,0.3,-1.218,-0.128,0
40.56,0.254,-0.945,-0.188,0
40.64,0.271,-0.741,-0.299,0
40.72,0.28600000000000003,-1.003,-0.23,0
40.8,0.329,-0.852,-0.121,0
40.88,0.324,-0.8959999999999999,-0.135,0
40.96,0.218,-0.895,-0.113,0
41.04,0.184,-0.91,-0.109,0
41.12,0.211,-1.107,-0.078,0
41.2,0.117,-1.145,-0.131,0
41.28,0.063,-0.755,-0.218,0
41.36,0.149,-0.938,-0.181,0
41.44,0.273,-0.985,-0.064,0
41.52,0.234,-0.855,-0.022,0
41.6,0.22,-0.925,-0.044,0
41.68,0.241,-0.904,-0.08,0
41.76,0.262,-1.022,-0.14,0
41.84,0.388,-1.0759999999999998,-0.226,0
41.92,0.391,-0.7979999999999999,-0.253,0
42.0,0.34700000000000003,-0.753,-0.313,0
42.08,0.398,-0.999,-0.308,0
42.16,0.314,-0.893,-0.212,0
42.24,0.361,-0.838,-0.207,0
42.32,0.35,-0.894,-0.198,0
42.4,0.298,-0.981,-0.196,0
42.48,0.192,-1.129,-0.159,0
42.56,0.265,-0.782,-0.092,0
42.64,0.25,-0.787,-0.124,0
42.72,0.152,-1.125,-0.157,0
42.8,0.14,-0.968,-0.033,0
42.88,0.14300000000000002,-0.898,-0.047,0
42.96,0.142,-0.957,-0.068,0
43.04,0.127,-0.933,-0.104,0
43.12,0.096,-0.952,-0.115,0
43.2,0.116,-1.038,-0.119,0
43.28,0.234,-0.981,-0.116,0
43.36,0.301,-0.828,-0.1,0
43.44,0.335,-0.873,-0.15,0
43.52,0.406,-0.941,-0.161,0
43.6,0.449,-0.962,-0.146,0
43.68,0.439,-0.925,-0.13,0
43.76,0.408,-0.898,-0.08900000000000001,0
43.84,0.414,-0.924,-0.047,0
43.92,0.413,-0.892,0.001,0
44.0,0.3720000000000001,-0.872,0.02,0
44.08,0.268,-0.952,0.066,0
44.16,0.196,-0.885,0.066,0
44.24,0.2,-0.887,0.064,0
44.32,0.185,-0.934,0.051,0
44.4,0.165,-0.946,0.031,0
44.48,0.153,-0.951,0.012,0
44.56,0.161,-0.947,0.001,0
44.64,0.134,-1.036,-0.054000000000000006,0
44.72,0.181,-0.992,-0.045,0
44.8,0.214,-0.929,-0.044,0
44.88,0.225,-0.917,-0.045,0
44.96,0.229,-0.961,-0.003,0
45.04,0.249,-0.983,-0.049,0
45.12,0.28300000000000003,-1.021,-0.094,0
45.2,0.267,-0.974,-0.08199999999999999,0
45.28,0.269,-0.816,-0.086,0
45.36,0.355,-0.845,-0.174,0
45.44,0.43,-0.988,-0.191,0
45.52,0.401,-0.847,-0.096,0
45.6,0.4270000000000001,-0.846,-0.161,0
45.68,0.452,-0.867,-0.171,0
45.76,0.4320000000000001,-0.8490000000000001,-0.2,0
45.84,0.439,-0.898,-0.212,0
45.92,0.392,-0.841,-0.17800000000000002,0
46.0,0.391,-0.964,-0.224,0
46.08,0.336,-0.983,-0.157,0
46.16,0.275,-0.981,-0.125,0
46.24,0.277,-0.911,-0.079,0
46.32,0.212,-0.91,-0.021,0
46.4,0.118,-0.907,-0.067,0
46.48,0.135,-0.954,-0.07400000000000001,0
46.56,0.132,-1.0,-0.05,0
46.64,0.122,-0.94,-0.037000000000000005,0
46.72,0.093,-0.966,-0.042,0
46.8,0.103,-0.961,-0.028,0
46.88,0.075,-0.958,-0.054000000000000006,0
46.96,0.15,-0.968,-0.075,0
47.04,0.237,-0.98,-0.095,0
47.12,0.267,-1.027,-0.113,0
47.2,0.21,-0.929,-0.08199999999999999,0
47.28,0.225,-0.8009999999999999,-0.053,0
47.36,0.349,-0.909,-0.128,0
47.44,0.37,-1.07,-0.085,0
47.52,0.339,-0.845,0.003,0
47.6,0.38,-0.8540000000000001,-0.018000000000000002,0
47.68,0.335,-0.898,-0.039,0
47.76,0.343,-0.8690000000000001,-0.052000000000000005,0
47.84,0.35700000000000004,-0.924,-0.061,0
47.92,0.376,-1.041,-0.12,0
48.0,0.403,-1.042,-0.22,0
48.08,0.188,-0.901,-0.273,0
48.16,0.128,-0.8190000000000001,-0.279,0
48.24,0.222,-0.981,-0.187,0
48.32,0.223,-0.894,-0.121,0
48.4,0.197,-0.88,-0.086,0
48.48,0.171,-0.926,-0.07,0
48.56,0.192,-0.94,-0.063,0
48.64,0.274,-1.039,-0.056,0
48.72,0.366,-1.202,-0.145,0
48.8,0.334,-0.7929999999999999,-0.156,0
48.88,0.276,-0.703,-0.209,0
48.96,0.359,-0.962,-0.229,0
49.04,0.32,-0.868,-0.163,0
49.12,0.333,-0.823,-0.14400000000000002,0
49.2,0.3670000000000001,-0.841,-0.118,1
49.28,0.308,-0.753,-0.087,1
49.36,0.3,-0.966,-0.096,1
49.44,0.29,-0.954,-0.069,1
49.52,-0.073,0.133,0.154,1
49.6,-0.085,0.591,0.215,1
49.68,0.71,-1.2009999999999998,-1.525,1
49.76,1.01,-2.297,-1.858,1
49.84,0.998,-0.784,-0.6970000000000001,1
49.92,-0.07200000000000001,0.741,-0.628,1
50.0,-0.297,0.7240000000000001,-0.165,1
50.08,0.631,0.129,0.35,1
50.16,1.676,0.108,0.6459999999999999,1
50.24,2.2230000000000003,-0.86,1.464,1
50.32,0.581,-1.269,0.35700000000000004,1
50.4,0.5,-0.438,-0.269,1
50.48,0.267,-0.63,0.44,1
50.56,0.58,-1.127,0.562,1
50.64,0.484,-0.816,0.545,1
50.72,0.445,-0.807,0.445,1
50.8,0.482,-0.679,0.363,1
50.88,0.7959999999999999,-0.586,0.156,1
50.96,0.929,-0.573,0.173,1
51.04,0.863,-0.537,0.207,1
